current_url,title,action,proposed_new_url,review_reasons
https://jackskeen.com/,Home page,UPDATE,/,strategic page | unsupported external embed
https://jackskeen.com/about-jack-skeen/,About Jack Skeen,REDIRECT,/about,redirect | suspicious external link
https://jackskeen.com/about-tcb/,The Circle Blueprint,CONSOLIDATE,/books/circle-blueprint,strategic page | consolidate
https://jackskeen.com/all-testimonials/,All Testimonials,REDIRECT,/success-stories,strategic page | redirect | unsupported external embed
https://jackskeen.com/allies-or-enemies/,Allies or Enemies?,CONSOLIDATE,/civility-allies-or-enemies/,consolidate
https://jackskeen.com/are-you-crisis-prone/,Are You Crisis-Prone?,KEEP,/are-you-crisis-prone/,substantial content / potential SEO value
https://jackskeen.com/are-you-thriving-2/,Are You Thriving?,KEEP,/are-you-thriving-2/,title/slug collision
https://jackskeen.com/are-you-thriving/,Are You Thriving?,KEEP,/are-you-thriving/,title/slug collision
https://jackskeen.com/autonomy/,Autonomy,KEEP,/autonomy/,suspicious external link
https://jackskeen.com/blog/,Blog,REDIRECT,/insights/articles,redirect
https://jackskeen.com/category/blog/,Blog,REDIRECT,/insights/articles,redirect
https://jackskeen.com/category/video/,Video,REDIRECT,/insights/videos,redirect
https://jackskeen.com/civility-and-identity/,Civility and Identity,UPDATE,/civility-and-identity/,suspicious external link
https://jackskeen.com/community-2/,Community: The Value of Ritual,KEEP,/community-2/,title/slug collision
https://jackskeen.com/community/,Community,UPDATE,/community/,title/slug collision
https://jackskeen.com/contact/,Contact,UPDATE,/contact/,strategic page
https://jackskeen.com/control-in-difficult-times/,What Can You Control?,UPDATE,/control-in-difficult-times/,suspicious external link
https://jackskeen.com/corporate-solutions/,Corporate Solutions,REDIRECT,/work-with-jack/corporate,strategic page | redirect
https://jackskeen.com/discovering-your-unique-gift-to-the-world/,Discovering Your Unique Gift to the World,KEEP,/discovering-your-unique-gift-to-the-world/,substantial content / potential SEO value
https://jackskeen.com/drama-triangle/,Understanding the Drama Triangle,KEEP,/drama-triangle/,substantial content / potential SEO value
https://jackskeen.com/embracing-gratitude-a-thanksgiving-reflection/,Embracing Gratitude: A Thanksgiving Reflection,KEEP,/embracing-gratitude-a-thanksgiving-reflection/,substantial content / potential SEO value
https://jackskeen.com/escaping-the-drama-trap-battling-the-imaginary-bear/,Escaping the Drama Trap: Battling the Imaginary Bear,KEEP,/escaping-the-drama-trap-battling-the-imaginary-bear/,substantial content / potential SEO value
https://jackskeen.com/executive-coaching/,Executive Coaching,REDIRECT,/work-with-jack/executive-coaching,strategic page | redirect | substantial content / potential SEO value
https://jackskeen.com/faqs/,FAQs,CONSOLIDATE,/roadmap/faq,strategic page | consolidate | substantial content / potential SEO value
https://jackskeen.com/free-books/,Free Books,CONSOLIDATE,/books,strategic page | consolidate
https://jackskeen.com/free-ebook/,Free eBook!,CONSOLIDATE,/books,strategic page | consolidate
https://jackskeen.com/independence/,Independence,UPDATE,/independence/,title/slug collision
https://jackskeen.com/individuality-and-civility/,Individuality and Civility,KEEP,/individuality-and-civility/,suspicious external link
