source,destination,proposed_status,action,notes
/about-jack-skeen/,/about,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 341 words. Legacy markup: elementor-widget-wrap; elementor-widget-image; elementor-widget-container; elementor-widget-text-editor. Suspicious external links: https://jack-skeen-development.local/about-tcb/. Manual review: redirect; suspicious external link."
/about-tcb/,/books/circle-blueprint,301,CONSOLIDATE,"Review for unique content, then consolidate into the approved Circle Blueprint destination. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 415 words. Manual review: strategic page; consolidate."
/all-testimonials/,/success-stories,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 14 words. Legacy markup: elementor-widget-wrap; elementor-widget-thim-heading; elementor-widget-container; elementor-widget-html; elementor-widget-button. Unsupported embeds: https://embed-v2.testimonial.to/w/the-roadmap?theme=light&card=base&loadMore=on&initialCount=20&tag=all&autoLoadMore. Manual review: strategic page; redirect; unsupported external embed."
/allies-or-enemies/,/civility-allies-or-enemies/,301,CONSOLIDATE,"Content analysis found a near-identical older article; preserve the older URL unless traffic/backlink evidence favors the newer URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 359 words. Manual review: consolidate."
/blog/,/insights/articles,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 576 words. Manual review: redirect."
/category/blog/,/insights/articles,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,firecrawl-map. 576 words. Manual review: redirect."
/category/video/,/insights/videos,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,firecrawl-map. 127 words. Manual review: redirect."
/corporate-solutions/,/work-with-jack/corporate,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 43 words. Manual review: strategic page; redirect."
/executive-coaching/,/work-with-jack/executive-coaching,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 1001 words. Legacy markup: elementor-widget-wrap; elementor-widget-thim-ekits-heading; elementor-widget-container; elementor-widget-text-editor; elementor-widget-video; elementor-widget-thim-ekits-accordion; elementor-widget-thim-ekits-button. Manual review: strategic page; redirect; substantial content / potential SEO value."
/faqs/,/roadmap/faq,301,CONSOLIDATE,"Review FAQ relevance, then consolidate approved Roadmap questions into the dedicated route. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 1186 words. Legacy markup: elementor-widget-wrap; elementor-widget-thim-heading; elementor-widget-container. Manual review: strategic page; consolidate; substantial content / potential SEO value."
/free-books/,/books,301,CONSOLIDATE,"Review active lead-magnet fulfillment and book relevance before consolidating. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 164 words. Manual review: strategic page; consolidate."
/free-ebook/,/books,301,CONSOLIDATE,"Review active lead-magnet fulfillment and book relevance before consolidating. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 10 words. Legacy markup: elementor-widget-wrap; elementor-widget-thim-heading; elementor-widget-container; elementor-widget-html. Manual review: strategic page; consolidate."
/learning-to-play-a-friendly-game-of-tennis/,/civility-listening/,301,CONSOLIDATE,"Content analysis found a near-identical older article; preserve the older URL unless traffic/backlink evidence favors the newer URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 402 words. Manual review: consolidate."
/loner-or-lover/,/civility-loner-of-lover/,301,CONSOLIDATE,"Content analysis found a near-identical older article; preserve the older URL unless traffic/backlink evidence favors the newer URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 400 words. Manual review: consolidate."
/roadmap-essentials/,/work-with-jack/roadmap-essentials,301,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 457 words. Legacy markup: elementor-widget-wrap; elementor-widget-heading; elementor-widget-container; elementor-widget-text-editor; elementor-widget-button; elementor-widget-image; elementor-widget-image-box; elementor-widget-icon-box; elementor-widget-html; elementor-widget-thim-heading; elementor-widget-spacer. Unsupported embeds: https://embed-v2.testimonial.to/w/the-roadmap?id=fe74c6b5-8232-4326-8fed-f5ff8b70e635. Manual review: strategic page; redirect; unsupported external embed."
/tag/civility/,/insights/topics/relationships,301,REDIRECT,"Archive concept maps directly to an approved topic hub; do not recreate the archive. Discovered via wordpress-sitemap,firecrawl-map. 544 words. Manual review: redirect."
