current_url,page_post_title,content_type,publication_date,updated_date,author,current_category,current_tags,canonical_url,meta_title,meta_description,featured_image,status_code,proposed_new_content_type,proposed_primary_topic,proposed_new_url,migration_action,migration_notes
https://jackskeen.com/,Home page,page,2022-10-21T08:22:04,2026-04-24T00:47:36,fernando,,,https://jackskeen.com/,Jack Skeen,,,200,page,,/,UPDATE,"Replace with the approved new homepage while preserving the URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 591 words. Legacy markup: elementor-widget-wrap; elementor-widget-shortcode; elementor-widget-container; elementor-widget-thim-heading; elementor-widget-wp-widget-text; elementor-widget-button; elementor-widget-thim-round-slider; elementor-widget-text-editor; elementor-widget-html; elementor-widget-image-box; elementor-widget-divider--view-line; elementor-widget-divider; elementor-widget-heading; elementor-widget-star-rating; elementor-widget-icon-list; elementor-widget-thim-list-post. Unsupported embeds: https://embed-v2.testimonial.to/v/4e0bb33d-ccbf-4f51-9844-8ca2701ebf85; https://embed-v2.testimonial.to/w/the-roadmap?theme=light&card=large&loadMore=on&initialCount=20&tag=all. Manual review: strategic page; unsupported external embed."
https://jackskeen.com/100-percent-love-is-it-possible/,100 Percent Love. Is it Possible?,post,2024-12-16T14:27:49,2024-12-16T14:29:23,Jack Skeen,Blog,,https://jackskeen.com/100-percent-love-is-it-possible/,100 Percent Love. Is it Possible? – Jack Skeen,,https://jackskeen.com/wp-content/uploads/2024/12/image.jpg,200,article,Relationships,/100-percent-love-is-it-possible/,KEEP,"Preserve the existing root-level article URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 654 words."
https://jackskeen.com/about-jack-skeen/,About Jack Skeen,page,2023-08-31T04:08:37,2023-09-01T03:17:59,Jack Skeen,,,https://jackskeen.com/about-jack-skeen/,About Jack Skeen – Jack Skeen,,,200,redirect only,,/about,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 341 words. Legacy markup: elementor-widget-wrap; elementor-widget-image; elementor-widget-container; elementor-widget-text-editor. Suspicious external links: https://jack-skeen-development.local/about-tcb/. Manual review: redirect; suspicious external link."
https://jackskeen.com/about-tcb/,The Circle Blueprint,page,2016-04-20T17:49:46,2024-07-26T03:47:36,Jack Skeen,,,https://jackskeen.com/about-tcb/,The Circle Blueprint – Jack Skeen,,,200,book/topic page,,/books/circle-blueprint,CONSOLIDATE,"Review for unique content, then consolidate into the approved Circle Blueprint destination. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 415 words. Manual review: strategic page; consolidate."
https://jackskeen.com/accountability/,Accountability,post,2019-04-10T09:00:52,2019-04-10T09:00:52,Jack Skeen,Blog,Company Improvement | Executive Leadership Development | Human Resource Professional Development | Improving Employee Satisfaction | Increasing Return on Employee Investment | Leadership Coaching | Life Coach | Personal Growth Coach | Professional development | Reducing Turnover within my company | Self Help,https://jackskeen.com/accountability/,Accountability – Jack Skeen,,,200,article,Personal Growth,/accountability/,KEEP,"Preserve the existing root-level article URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 373 words."
https://jackskeen.com/all-testimonials/,All Testimonials,page,2023-08-31T20:49:31,2024-07-26T02:56:55,Jack Skeen,,,https://jackskeen.com/all-testimonials/,All Testimonials – Jack Skeen,,,200,redirect only,,/success-stories,REDIRECT,"Equivalent route exists in the approved sitemap. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 14 words. Legacy markup: elementor-widget-wrap; elementor-widget-thim-heading; elementor-widget-container; elementor-widget-html; elementor-widget-button. Unsupported embeds: https://embed-v2.testimonial.to/w/the-roadmap?theme=light&card=base&loadMore=on&initialCount=20&tag=all&autoLoadMore. Manual review: strategic page; redirect; unsupported external embed."
https://jackskeen.com/allies-or-enemies/,Allies or Enemies?,post,2025-02-25T15:45:08,2025-02-25T15:45:11,Jack Skeen,Blog,,https://jackskeen.com/allies-or-enemies/,Allies or Enemies? – Jack Skeen,,https://jackskeen.com/wp-content/uploads/2025/02/image-7.jpg,200,article,Relationships,/civility-allies-or-enemies/,CONSOLIDATE,"Content analysis found a near-identical older article; preserve the older URL unless traffic/backlink evidence favors the newer URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 359 words. Manual review: consolidate."
https://jackskeen.com/are-you-as-happy-as-you-want-to-be/,Are You as Happy as You Want to be?,post,2022-02-25T10:40:50,2022-02-25T10:40:50,Jack Skeen,Blog,Leadership Coaching | Life Coach | Personal Growth Coach,https://jackskeen.com/are-you-as-happy-as-you-want-to-be/,Are You as Happy as You Want to be? – Jack Skeen,,,200,article,Success & Fulfillment,/are-you-as-happy-as-you-want-to-be/,KEEP,"Preserve the existing root-level article URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 325 words."
https://jackskeen.com/are-you-crisis-prone/,Are You Crisis-Prone?,post,2024-09-19T16:33:42,2024-09-19T16:46:17,Jack Skeen,Blog,,https://jackskeen.com/are-you-crisis-prone/,Are You Crisis-Prone? – Jack Skeen,,https://jackskeen.com/wp-content/uploads/2024/09/pherux_A_realistic_image_of_two_photos_on_the_left_a_man_worr_5460a6f3-0b70-4d71-8ecf-e7f35c1cf359_2.png,200,article,Personal Growth,/are-you-crisis-prone/,KEEP,"Preserve the existing root-level article URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 1319 words. Manual review: substantial content / potential SEO value."
https://jackskeen.com/are-you-living-below-the-line/,Are you living “below the line”?,post,2021-07-18T13:01:55,2021-07-18T13:01:55,Jack Skeen,Blog,Company Improvement | Executive Leadership Development | Leadership Coaching,https://jackskeen.com/are-you-living-below-the-line/,Are you living “below the line”? – Jack Skeen,,,200,article,Personal Growth,/are-you-living-below-the-line/,KEEP,"Preserve the existing root-level article URL. Discovered via wordpress-sitemap,wordpress-rest,firecrawl-map. 339 words."
